127.0.0.1 - - [04/Jul/2018:12:33:24 -0300] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:36:07 -0300] "GET /APS5CC/Index.jsp HTTP/1.1" 200 11714
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:36:07 -0300] "GET /APS5CC/css/materialize.css HTTP/1.1" 200 178628
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:36:07 -0300] "GET /APS5CC/css/icons.css HTTP/1.1" 200 660
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:36:07 -0300] "GET /APS5CC/css/style.css HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:36:07 -0300] "GET /APS5CC/css/style2.css HTTP/1.1" 200 907
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:36:07 -0300] "GET /APS5CC/js/materialize.min.js HTTP/1.1" 200 179205
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:36:07 -0300] "GET /APS5CC/js/jquery-2.1.1.min.js HTTP/1.1" 200 84247
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:36:07 -0300] "GET /APS5CC/js/init.js HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:36:07 -0300] "GET /APS5CC/img/tiete01.jpg HTTP/1.1" 200 141574
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:36:19 -0300] "GET /APS5CC/Index.jsp HTTP/1.1" 200 11714
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:36:19 -0300] "GET /APS5CC/css/materialize.css HTTP/1.1" 200 178628
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:36:19 -0300] "GET /APS5CC/css/icons.css HTTP/1.1" 200 660
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:36:19 -0300] "GET /APS5CC/css/style.css HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:36:19 -0300] "GET /APS5CC/css/style2.css HTTP/1.1" 200 907
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:36:19 -0300] "GET /APS5CC/img/tiete01.jpg HTTP/1.1" 200 141574
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:36:19 -0300] "GET /APS5CC/js/jquery-2.1.1.min.js HTTP/1.1" 200 84247
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:36:19 -0300] "GET /APS5CC/js/materialize.min.js HTTP/1.1" 200 179205
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:36:19 -0300] "GET /APS5CC/js/init.js HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:36:21 -0300] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:36:29 -0300] "GET /APS5CC/Ocorrencias.jsp HTTP/1.1" 200 8346
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:36:29 -0300] "GET /APS5CC/js/angular.mim.js HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:36:29 -0300] "GET /APS5CC/js/ocorrenciaController.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:36:29 -0300] "GET /APS5CC/img/lista.jpg HTTP/1.1" 200 61130
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:36:29 -0300] "GET /APS5CC/js/ocorrenciaController.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:36:36 -0300] "GET /APS5CC/Index.jsp HTTP/1.1" 200 11714
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:36:49 -0300] "GET /APS5CC/Index.jsp HTTP/1.1" 200 11714
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:36:57 -0300] "GET /APS5CC/Ocorrencias.jsp HTTP/1.1" 200 8346
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:36:57 -0300] "GET /APS5CC/js/angular.mim.js HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:36:57 -0300] "GET /APS5CC/js/ocorrenciaController.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:36:57 -0300] "GET /APS5CC/js/ocorrenciaController.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:37:00 -0300] "GET /APS5CC/fichaView?acao=c&dado=3 HTTP/1.1" 200 2264
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:37:09 -0300] "GET /APS5CC/Relatorios.jsp HTTP/1.1" 200 4870
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:37:09 -0300] "GET /APS5CC/img/relatorio.jpg HTTP/1.1" 200 432745
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:37:22 -0300] "GET /APS5CC/RelatorioS?dataInicial=2018-07-10&dataFinal=2018-07-31&acao=AxCL&action= HTTP/1.1" 200 1095
